"game_title","game_platform","publisher_title"
"FIFA: Road to  World Cup 98","N64","Electronic Arts"
"FIFA: Road to World Cup 98","PS","Electronic Arts"
"Fifi and the Flowertots","DS","Avanquest"
"Fight Club","PS2","Vivendi Games"
"Fight Club","XB","Vivendi Games"
"Fight Night 2004","PS2","Electronic Arts"
"Fight Night 2004","XB","Electronic Arts"
"Fight Night Champion","PS3","Electronic Arts"
"Fight Night Champion","X360","Electronic Arts"
"Fight Night Round 2","GC","Electronic Arts"
"Fight Night Round 2","PS2","Electronic Arts"
"Fight Night Round 2","XB","Electronic Arts"
"Fight Night Round 2004","XB","Electronic Arts"
"Fight Night Round 3","PS2","Electronic Arts"
"Fight Night Round 3","PS3","Electronic Arts"
"Fight Night Round 3","PSP","Electronic Arts"
"Fight Night Round 3","X360","Electronic Arts"
"Fight Night Round 3","XB","Electronic Arts"
"Fight Night Round 4","PS3","Electronic Arts"
"Fight Night Round 4","X360","Electronic Arts"
"Fighter Destiny 2","N64","Imagineer"
"Fighter Maker","PS","Agetec"
"Fighter Maker 2","PS2","Enterbrain"
"Fighter Within","XOne","Ubisoft"
"Fighters Destiny","N64","Ocean"
"Fighters MEGAMiX","SAT","Sega"
"Fighters Uncaged","X360","Ubisoft"
"Fighting Fantasy: The Warlock of Firetop Mountain","DS","Aspyr"
"Fighting Force","PS","Eidos Interactive"
"Fighting Force 2","PS","Eidos Interactive"
"Fighting Force 64","N64","Crave Entertainment"
"Fighting Vipers","SAT","Sega"
"Fighting Vipers 2","DC","Sega"
"Final Approach 2: 1st Priority","PS2","Princess Soft"
"Final Doom","PS","GT Interactive"
"Final Fantasy","NES","SquareSoft"
"Final Fantasy","WS","SquareSoft"
"Final Fantasy Adventure","GB","SquareSoft"
"Final Fantasy Anniversary Edition","PSP","Square Enix"
"Final Fantasy Anthology","PS","Square EA"
"Final Fantasy Chronicles","PS","Square"
"Final Fantasy Collection","PS","Square"
