"critic_score","user_score","critic_count","user_count","score_id"
0,0,0,0,614
78,7,8,20,615
0,0,0,0,616
50,5.4,23,16,617
0,0,0,0,618
0,0,0,0,619
82,7.5,68,120,620
0,0,0,0,621
79,8.8,31,96,622
25,4.3,8,26,623
92,8.6,100,6383,624
0,0,0,0,625
70,7.4,26,74,626
85,7.7,55,83,627
92,8.2,72,178,628
90,8,26,99,629
82,7.7,50,384,630
87,6.1,79,1889,631
83,7,50,291,632
0,0,0,0,633
83,8.2,12,190,634
82,8.2,50,100,635
0,0,0,0,636
81,8.4,26,42,637
83,0,12,0,638
79,8,13,34,639
0,0,0,0,640
78,3.1,17,290,641
84,6.1,23,124,642
0,0,0,0,643
0,0,0,0,644
82,7.8,66,176,645
71,0,9,0,646
0,0,0,0,647
73,7.9,14,39,648
66,8.2,28,92,649
77,6.8,40,85,650
82,8.4,16,53,651
0,0,0,0,652
62,6.2,11,34,653
82,8.1,73,487,654
0,0,0,0,655
0,0,0,0,656
0,9,0,90,657
73,0,4,0,658
0,0,0,0,659
0,0,0,0,660
91,8.7,65,173,661
83,6.1,36,68,662
0,0,0,0,663
0,0,0,0,664
71,6.9,75,627,665
96,9.1,81,8665,666
62,7.6,36,22,667
85,6.4,46,108,668
83,8.8,59,55,669
42,5.5,10,16,670
85,6.8,41,58,671
0,0,0,0,672
81,8.5,66,142,673
0,0,0,0,674
0,0,0,0,675
73,2.9,33,67,676
71,7.2,11,31,677
89,9,82,478,678
78,6.6,22,28,679
84,8.4,21,189,680
86,6.2,14,115,681
66,6.5,46,39,682
0,8.6,0,16,683
0,0,0,0,684
0,0,0,0,685
84,9.1,42,51,686
86,8.5,14,28,687
0,0,0,0,688
90,7.9,69,2954,689
0,0,0,0,690
75,5.6,69,382,691
0,0,0,0,692
76,7.7,46,668,693
0,8.3,0,37,694
0,0,0,0,695
80,6.7,18,87,696
77,8.7,35,27,697
78,6.7,42,76,698
0,0,0,0,699
82,6.9,8,20,700
72,7.2,7,6,701
76,7.1,42,71,702
68,8.2,24,27,703
0,0,0,0,704
71,6.6,41,405,705
81,8.9,24,54,706
88,8.9,17,42,707
80,8.6,35,43,708
76,6.3,91,635,709
87,8.2,37,440,710
84,9,31,52,711
0,0,0,0,712
87,9.4,55,306,713
79,5.5,31,56,714
80,7.5,89,914,715
83,7.8,45,52,716
87,8.1,22,48,717
74,5.7,53,72,718
0,0,0,0,719
69,6.7,42,61,720
77,7.9,59,288,721
0,7.4,0,355,722
74,8,16,13,723
79,8,61,139,724
80,5.6,32,136,725
0,0,0,0,726
0,0,0,0,727
91,8.2,25,858,728
92,8.8,44,204,729
84,8.6,70,219,730
80,7.6,37,127,731
0,0,0,0,732
0,0,0,0,733
73,7.3,40,480,734
71,6.6,47,233,735
0,0,0,0,736
0,0,0,0,737
92,8.1,55,220,738
79,5.9,76,1095,739
92,8.3,69,156,740
0,0,0,0,741
0,0,0,0,742
88,7,73,206,743
80,7.9,15,16,744
88,8.2,93,573,745
0,0,0,0,746
94,9.2,72,317,747
0,0,0,0,748
0,0,0,0,749
81,6.1,37,208,750
80,6.6,41,132,751
81,7.5,74,211,752
0,0,0,0,753
82,8.9,26,28,754
82,5.4,33,347,755
0,0,0,0,756
0,0,0,0,757
0,0,0,0,758
80,6.9,33,614,759
82,6.3,54,539,760
74,7.9,17,30,761
79,7.6,72,110,762
66,7.3,30,136,763
0,0,0,0,764
69,7.6,21,50,765
0,0,0,0,766
0,6.6,0,5,767
90,6.1,31,1358,768
83,7.5,30,511,769
0,0,0,0,770
0,0,0,0,771
0,0,0,0,772
0,0,0,0,773
0,0,0,0,774
64,7.5,45,30,775
77,9,26,20,776
87,7.8,44,212,777
62,5.2,5,54,778
85,8.2,35,28,779
0,0,0,0,780
90,6.7,38,127,781
0,0,0,0,782
89,8.5,31,92,783
0,0,0,0,784
78,9.3,24,201,785
84,4.9,26,142,786
81,8.9,17,89,787
84,8.7,56,44,788
0,0,0,0,789
0,0,0,0,790
73,5,46,845,791
86,8.3,66,382,792
83,7.9,58,427,793
84,9,60,212,794
0,0,0,0,795
89,8.1,50,100,796
0,0,0,0,797
74,7.9,58,1287,798
0,0,0,0,799
85,7.6,82,520,800
90,5.6,53,953,801
44,6.2,7,11,802
77,7.1,45,136,803
0,8.3,0,14,804
69,8.2,33,57,805
80,6.3,21,37,806
0,0,0,0,807
0,0,0,0,808
95,8.5,66,997,809
64,7.1,54,34,810
72,7.8,21,54,811
0,0,0,0,812
49,5.2,5,24,813
73,7.1,16,27,814
71,6.1,85,1571,815
0,0,0,0,816
83,7.9,68,51,817
89,8.9,66,443,818
0,0,0,0,819
0,0,0,0,820
0,0,0,0,821
55,0,13,0,822
88,9.2,18,21,823
82,8.6,62,208,824
