"game_title","game_platform","score_id"
"All-Star Baseball 2001","N64",6985
"All-Star Baseball 2002","GC",7230
"All-Star Baseball 2002","PS2",3578
"All-Star Baseball 2003","GBA",8876
"All-Star Baseball 2003","GC",8854
"All-Star Baseball 2003","PS2",2667
"All-Star Baseball 2003","XB",6567
"All-Star Baseball 2004","GBA",11936
"All-Star Baseball 2004","GC",11677
"All-Star Baseball 2004","PS2",4572
"All-Star Baseball 2004","XB",9566
"All-Star Baseball 2005","PS2",5656
"All-Star Baseball 2005","XB",8920
"All-Star Baseball 99","N64",4100
"All Grown Up! Express Yourself","GBA",8160
"All Grown Up!: Game Boy Advance Video Volume 1","GBA",6832
"All Japan Pro Wrestling featuring Virtua","SAT",8803
"All Kamen Rider: Rider Generation","DS",9714
"All Kamen Rider: Rider Generation 2","DS",10590
"All Kamen Rider: Rider Generation 2","PSP",12666
"All Points Bulletin","PC",13890
"All Star Cheer Squad","DS",6122
"All Star Cheer Squad","Wii",2586
"All Star Cheer Squad 2","Wii",9498
"All Star Karate","Wii",7214
"All Star Pro-Wrestling","PS2",7556
"All Star Tennis 99","N64",13161
"Alleyway","GB",883
"Allied General","PS",7802
"Alone in the Dark","PC",16537
"Alone in the Dark","PS2",12468
"Alone in the Dark","Wii",8073
"Alone in the Dark","X360",4071
"Alone in the Dark: Inferno","PS3",9425
"Alone in the Dark: One-Eyed Jack's Revenge","PS",5724
"Alone in the Dark: The New Nightmare","PS",8549
"Alpha and Omega","DS",12112
"Alpha Protocol","PC",14214
"Alpha Protocol","PS3",4531
"Alpha Protocol","X360",4901
"Alter Echo","PS2",9526
"Alter Echo","XB",13230
"Alter Ego","PC",14473
"Altered Beast: Guardian of the Realms","GBA",10880
"Alundra","PS",7065
"Alundra 2: A New Legend Begins","PS",6372
"Alvin and the Chipmunks","DS",9263
"Alvin and the Chipmunks","PS2",11884
"Alvin and the Chipmunks","Wii",12869
"Alvin and the Chipmunks: Chipwrecked","DS",10548
"Alvin and the Chipmunks: Chipwrecked","Wii",10996
"Alvin and the Chipmunks: Chipwrecked","X360",10584
"Alvin and the Chipmunks: The Squeakquel","DS",5985
"Alvin and the Chipmunks: The Squeakquel","Wii",10809
"Amagami","PS2",9450
"Amagami","PSP",8774
"Amagami","PSV",13678
"Amagoushi no Yakata","PS2",15813
